year,month,day,hour,sim_flow_cfs,flow_cfs
1990,8,3,6,17.53746807153754,30.9
1990,8,3,12,17.391610203990304,31.5
1990,8,3,18,17.28109610657343,29.8
1990,8,4,0,16.436788441106344,29.3
1990,8,4,6,14.001327370445004,29.3
1990,8,4,12,13.817179824279734,29.8
1990,8,4,18,13.685221187298758,28.2
1990,8,5,0,12.841807351183057,28.7
1990,8,5,6,11.060338949991298,28.2
1990,8,5,12,10.898423591996085,29.3
1990,8,5,18,10.779093658825865,27.7
1990,8,6,0,9.950498130423462,27.7
1990,8,6,6,9.841318942082317,27.7
1990,8,6,12,9.783837135378661,28.2
1990,8,6,18,9.724027678983752,26.6
1990,8,7,0,8.92749734839856,27.1
1990,8,7,6,9.32937654836823,28.2
1990,8,7,12,9.299958691058684,28.7
1990,8,7,18,9.25684356208054,27.7
1990,8,8,0,8.472256335145005,27.1
1990,8,8,6,9.273349377803697,26.1
1990,8,8,12,9.22944235485052,27.7
1990,8,8,18,9.17943466299252,26.1
1990,8,9,0,8.396667479884002,26.1
1990,8,9,6,12.723525931549581,26.6
1990,8,9,12,12.790408828419281,27.1
1990,8,9,18,12.804654290263919,25.6
1990,8,10,0,12.05100352791198,23.7
1990,8,10,6,18.534770512616987,22.3
1990,8,10,12,18.909320649341055,22.3
1990,8,10,18,19.41956812049564,21.8
1990,8,11,0,18.859478191919038,21.8
1990,8,11,6,16.73374528782388,22.3
1990,8,11,12,16.47749388804047,23.2
1990,8,11,18,16.506554098169502,23.7
1990,8,12,0,15.740043268362164,21.8
1990,8,12,6,15.679196392012209,20.9
1990,8,12,12,15.683939976897712,20.5
1990,8,12,18,15.774529912017847,19.7
1990,8,13,0,15.019459058246447,18.4
1990,8,13,6,12.77107848036605,18.4
1990,8,13,12,12.544797788744205,19.3
1990,8,13,18,12.378128181975498,18.1
1990,8,14,0,11.5314548206387,18.1
1990,8,14,6,11.009279267380968,18.1
1990,8,14,12,10.922741040021002,18.8
1990,8,14,18,10.856935492012092,18.4
1990,8,15,0,10.07308461831802,18.8
1990,8,15,6,12.117519252906213,19.3
1990,8,15,12,12.34293939035382,20.1
1990,8,15,18,13.27570800916817,20.1
1990,8,16,0,12.93912401264597,20.9
1990,8,16,6,17.04446699066665,20.1
1990,8,16,12,16.96955269958662,21.8
1990,8,16,18,16.88854536281478,21.4
1990,8,17,0,16.57161514107367,20.9
1990,8,17,6,17.02731898930824,20.5
1990,8,17,12,16.884646493976526,20.9
1990,8,17,18,16.944184015018806,20.1
1990,8,18,0,17.003550720717236,20.1
1990,8,18,6,22.448356793682734,20.1
1990,8,18,12,22.512202676713073,21.8
1990,8,18,18,22.6286238471707,21.4
1990,8,19,0,22.791030600377027,21.4
1990,8,19,6,26.774577477206513,21.8
1990,8,19,12,27.99090598477798,23.2
1990,8,19,18,29.684089690812044,25.1
1990,8,20,0,29.96915376036339,26.1
1990,8,20,6,26.276557495706584,26.6
1990,8,20,12,25.518885606141453,27.7
1990,8,20,18,25.41179180887619,28.2
1990,8,21,0,24.95151097248891,28.7
1990,8,21,6,21.566396977403286,29.3
1990,8,21,12,21.000802466945473,30.4
1990,8,21,18,20.60285271262636,29.8
1990,8,22,0,20.146931845155827,30.9
1990,8,22,6,20.42613044966908,31.5
1990,8,22,12,20.420570061378505,32.1
1990,8,22,18,20.469373767898063,30.9
1990,8,23,0,20.313241400406483,30.4
1990,8,23,6,21.734117641978685,30.4
1990,8,23,12,22.049348693722756,30.4
1990,8,23,18,22.25035158470577,31.5
1990,8,24,0,22.66476021327246,34.5
1990,8,24,6,23.788467966477477,33.3
1990,8,24,12,23.850130742672555,33.9
1990,8,24,18,24.239761148220644,33.9
1990,8,25,0,24.081895080861123,33.9
1990,8,25,6,22.68691117969457,33.3
1990,8,25,12,22.347102381547217,33.3
1990,8,25,18,21.940181353861952,32.1
1990,8,26,0,21.39192780643623,31.5
1990,8,26,6,19.64213381944478,32.1
1990,8,26,12,19.448228012449675,32.1
1990,8,26,18,19.314898725334615,30.4
1990,8,27,0,19.01726966745688,30.4
1990,8,27,6,16.288711016405053,30.4
1990,8,27,12,16.130020936273432,30.9
1990,8,27,18,16.018215726670178,29.3
1990,8,28,0,15.7395389909859,28.7
1990,8,28,6,14.08956338587334,28.7
1990,8,28,12,13.97754869532848,28.7
1990,8,28,18,13.892520475808439,27.7
1990,8,29,0,13.628536151115384,27.1
1990,8,29,6,14.322678785905154,27.7
1990,8,29,12,14.240892141923332,28.2
1990,8,29,18,14.173081658562808,26.6
1990,8,30,0,13.919168231159105,25.1
1990,8,30,6,18.079001352972305,24.1
1990,8,30,12,18.19199252970771,24.6
1990,8,30,18,18.23590513268325,23.7
1990,8,31,0,18.033405797411,23.2
1990,8,31,6,16.67605611208318,22.7
1990,8,31,12,16.60019301653552,23.2
1990,8,31,18,16.536579681454924,18.4
1990,9,1,0,16.28739324820785,16.2
1990,9,1,6,15.015975968878152,16.9
1990,9,1,12,14.921296479482884,17.3
1990,9,1,18,14.848820492429105,16.2
1990,9,2,0,14.598050960545471,16.9
1990,9,2,6,14.922773171780094,16.9
1990,9,2,12,14.972925502684667,16.9
1990,9,2,18,15.045456624860982,21.4
1990,9,3,0,14.908249018899205,24.1
1990,9,3,6,16.346520899151898,25.1
1990,9,3,12,16.314714095012043,26.1
