month,basin,zone,lower,upper,variable
4,BEAO3,BEAO3-1,120.810867634286,218.25282105,map
5,BEAO3,BEAO3-1,74.26406915,136.37618775,map
6,BEAO3,BEAO3-1,47.4094556,100.780247455556,map
7,BEAO3,BEAO3-1,11.65600285,31.7945635944444,map
8,BEAO3,BEAO3-1,15.0495381,32.9704573,map
9,BEAO3,BEAO3-1,47.8911412,94.7703224111111,map
10,BEAO3,BEAO3-1,115.712904754286,229.660746333333,map
11,BEAO3,BEAO3-1,226.648482141176,509.32530088,map
12,BEAO3,BEAO3-1,228.446360629412,510.028638491429,map
1,BELM8,BELM8-1,27.9771456857143,97.6688568166667,map
2,BELM8,BELM8-1,23.52673476,76.7697833833333,map
3,BELM8,BELM8-1,28.6200080742857,81.6599197944445,map
4,BELM8,BELM8-1,31.00007135,67.3550045666667,map
5,BELM8,BELM8-1,44.77800925,87.8649281277778,map
6,BELM8,BELM8-1,40.40099235,81.0536373166667,map
7,BELM8,BELM8-1,15.8290768,35.2843394444444,map
8,BELM8,BELM8-1,18.02920575,36.2967103085714,map
9,BELM8,BELM8-1,23.90079675,46.1142482166667,map
10,BELM8,BELM8-1,26.6349109885714,54.1417905111111,map
11,BELM8,BELM8-1,34.3652094,90.6605581828571,map
12,BELM8,BELM8-1,31.3571023411765,94.2648181828572,map
1,BERO3,BERO3-1,35.7599241257143,80.3867405611111,map
2,BERO3,BERO3-1,29.207079,62.8037493111111,map
3,BERO3,BERO3-1,33.24741255,64.6320420166667,map
4,BERO3,BERO3-1,21.4483188,50.2124330888889,map
5,BERO3,BERO3-1,27.09830115,55.4972452833333,map
6,BERO3,BERO3-1,17.5316515,38.7799296971429,map
7,BERO3,BERO3-1,7.18955255,17.8526302114286,map
8,BERO3,BERO3-1,7.2361552,18.0462703771429,map
9,BERO3,BERO3-1,8.91983865,21.0667360514286,map
10,BERO3,BERO3-1,18.96894225,35.3504796333333,map
11,BERO3,BERO3-1,42.8844978514286,79.5267396,map
12,BERO3,BERO3-1,46.4177409882353,101.201066874286,map
1,BFKW4,BFKW4-1,32.7833496514286,106.673088377778,map
2,BFKW4,BFKW4-1,31.3484927657143,84.0470047388889,map
3,BFKW4,BFKW4-1,38.4889639885714,101.265510927778,map
4,BFKW4,BFKW4-1,43.7759529428571,99.3532740444445,map
5,BFKW4,BFKW4-1,57.5905122,110.227079661111,map
6,BFKW4,BFKW4-1,36.85800985,65.2183063714286,map
7,BFKW4,BFKW4-1,22.7269421,53.5600460057143,map
8,BFKW4,BFKW4-1,19.2143253,49.4508543257143,map
9,BFKW4,BFKW4-1,35.7046022,65.5315776342857,map
10,BFKW4,BFKW4-1,39.7229337257143,74.1447771428571,map
11,BFKW4,BFKW4-1,47.5175826529412,111.627460622857,map
12,BFKW4,BFKW4-1,41.6865009176471,109.198891874286,map
1,BFTI1,BFTI1-1,26.6185432285714,63.2395396914286,map
2,BFTI1,BFTI1-1,21.6109361314286,55.49073992,map
3,BFTI1,BFTI1-1,27.3532570971429,62.7102842457143,map
4,BFTI1,BFTI1-1,28.5593049771429,65.2446178685714,map
5,BFTI1,BFTI1-1,40.2870543,76.3625585485714,map
6,BFTI1,BFTI1-1,20.7506951,45.0282237428571,map
7,BFTI1,BFTI1-1,10.5477056,29.1774147028571,map
8,BFTI1,BFTI1-1,13.84606705,28.8261051257143,map
9,BFTI1,BFTI1-1,19.91666705,42.9150018,map
10,BFTI1,BFTI1-1,25.77966015,49.5701501428571,map
11,BFTI1,BFTI1-1,28.7125566882353,63.7727788176471,map
12,BFTI1,BFTI1-1,26.9404696588235,68.3646931647059,map
1,BIGI1,BIGI1-1,28.2544701428571,66.4889696742857,map
2,BIGI1,BIGI1-1,23.4750776914286,53.2148512971429,map
3,BIGI1,BIGI1-1,31.0408701,63.8723407771429,map
4,BIGI1,BIGI1-1,24.60281465,50.8634049314286,map
5,BIGI1,BIGI1-1,28.06446,49.0819345657143,map
6,BIGI1,BIGI1-1,12.04416565,25.1346244285714,map
7,BIGI1,BIGI1-1,4.5459777,9.93295716111111,map
8,BIGI1,BIGI1-1,2.9634307,10.5144765942857,map
9,BIGI1,BIGI1-1,11.9876697,20.6728698628571,map
10,BIGI1,BIGI1-1,17.36800565,35.7985480914286,map
11,BIGI1,BIGI1-1,32.1697215529412,64.3359506058824,map
12,BIGI1,BIGI1-1,34.9500152647059,76.5551973352941,map
1,BIRQ2,BIRQ2-1,75.0558657085714,114.711542794444,map
2,BIRQ2,BIRQ2-1,49.1370409542857,83.95958824,map
3,BIRQ2,BIRQ2-1,58.0981544228572,111.599967662857,map
4,BIRQ2,BIRQ2-1,50.6765901085714,96.9647322285715,map
5,BIRQ2,BIRQ2-1,61.05531096,107.185192211429,map
6,BIRQ2,BIRQ2-1,71.7079142057143,118.6843702,map
7,BIRQ2,BIRQ2-1,35.86560645,67.1375209371429,map
8,BIRQ2,BIRQ2-1,27.0808312114286,48.7602573542857,map
9,BIRQ2,BIRQ2-1,40.30826965,62.4070873485714,map
10,BIRQ2,BIRQ2-1,56.1222274628571,89.6053042971429,map
11,BIRQ2,BIRQ2-1,84.4850668764706,136.479208282353,map
12,BIRQ2,BIRQ2-1,83.1719077941177,125.503510377143,map
1,BITM8,BITM8-1,28.8180540514286,89.7646773833334,map
